Nursing summary from all date ranges
Average feedings per day: 10.1
Average minutes per feeding per day: 16.2
Average total minutes per day: 159.6

Oct 16 2017,,Feedings 3,Average 13.4 minutes,Total 40.1 minutes
8:16 am,8:31 am,15 minutes,Nursed from left breast,,
8:57 am,9:04 am,7 minutes,Nursed from right breast,,
9:12 am,9:16 am,4 minutes,Nursed from right breast,,
10:23 am,10:24 am,1 minute,Nursed from right breast,,
10:24 am,10:35 am,11 minutes,Nursed from left breast,,
11:30 am,11:41 am,10 minutes,Nursed from right breast,,
1:34 pm,1:42 pm,7 minutes,Nursed from left breast,,
1:44 pm,1:50 pm,6 minutes,Nursed from left breast,,
3:22 pm,3:36 pm,14 minutes,Nursed from right breast,,
3:56 pm,4:03 pm,4 minutes,Nursed from left breast,,
4:32 pm,4:43 pm,9 minutes,Nursed from left breast,,
6:13 pm,6:34 pm,16 minutes,Nursed from right breast,,
6:41 pm,6:50 pm,9 minutes,Nursed from left breast,,
7:29 pm,7:41 pm,8 minutes,Nursed from left breast,,
7:43 pm,7:48 pm,4 minutes,Nursed from right breast,,

Oct 02 2017,,Feedings 13,Average 16.8 minutes,Total 218.9 minutes
Start,End,Duration,Entry,Notes,Location
1:05 am,1:18 am,13 minutes,Nursed from right breast,,
1:27 am,1:37 am,10 minutes,Nursed from right breast,,
3:51 am,4:01 am,10 minutes,Nursed from left breast,,
4:10 am,4:13 am,3 minutes,Nursed from left breast,,
4:13 am,4:14 am,1 minute,Nursed from right breast,,
6:25 am,6:31 am,6 minutes,Nursed from right breast,,
7:14 am,7:18 am,4 minutes,Nursed from left breast,,
8:32 am,8:49 am,10 minutes,Nursed from left breast,,
8:49 am,8:53 am,3 minutes,Nursed from left breast,,
8:57 am,9:10 am,13 minutes,Nursed from right breast,,
9:56 am,10:03 am,7 minutes,Nursed from left breast,,
10:27 am,10:32 am,4 minutes,Nursed from right breast,,
10:37 am,10:40 am,3 minutes,Nursed from right breast,,
11:12 am,11:20 am,8 minutes,Nursed from left breast,,
12:48 pm,12:56 pm,7 minutes,Nursed from left breast,,
12:59 pm,1:04 pm,4 minutes,Nursed from right breast,,
1:06 pm,1:18 pm,11 minutes,Nursed from right breast,,
1:36 pm,1:37 pm,1 minute,Nursed from right breast,,
1:37 pm,1:47 pm,9 minutes,Nursed from left breast,,
2:16 pm,2:20 pm,4 minutes,Nursed from left breast,,
2:57 pm,3:03 pm,5 minutes,Nursed from right breast,,
3:50 pm,4:00 pm,10 minutes,Nursed from left breast,,
4:51 pm,5:01 pm,9 minutes,Nursed from right breast,,
5:10 pm,5:28 pm,18 minutes,Nursed from left breast,,
6:14 pm,6:26 pm,12 minutes,Nursed from right breast,,
6:49 pm,6:59 pm,9 minutes,Nursed from right breast,,
11:35 pm,11:51 pm,9 minutes,Nursed from left breast,,
11:51 pm,11:57 pm,5 minutes,Nursed from left breast,,
11:59 pm,12:00 am,1 minute,Nursed from right breast,,

Oct 01 2017,,Feedings 9,Average 19.9 minutes,Total 179.2 minutes
Start,End,Duration,Entry,Notes,Location
1:55 am,2:03 am,8 minutes,Nursed from right breast,,
2:08 am,2:12 am,4 minutes,Nursed from right breast,,
2:32 am,2:36 am,3 minutes,Nursed from left breast,,
5:11 am,5:24 am,11 minutes,Nursed from left breast,,
5:26 am,5:27 am,1 minute,Nursed from left breast,,
